date,btc_price,total_volume,eth_price,total_market_cap,btc_mcap,eth_mcap,total_mcap,btc_dominance,eth_dominance,alt_dominance,fear_greed,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,inflation_12m,return_1d_eth,return_7d_eth,return_30d_eth,volatility_7d_eth,volatility_30d_eth,ema_7_eth,ema_21_eth,ema_ratio_eth,month,is_jan,is_feb,is_mar,is_apr,is_may,is_jun,is_jul,is_aug,is_sep,is_oct,is_nov,is_dec,halving_year
2020-05-03 00:00:00,8966.307014689282,39177855720.33245,213.94301121407548,253986193584.68045,164603123455.99927,23700169401.049606,253986193584.68045,0.6480790200949236,0.0933128256562018,0.2586081542488746,45.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,0.009316090700139723,0.10215002625580372,0.5124595759517574,0.04218699454088933,0.05471040131093587,205.32969662674986,188.2404396852759,1.0907841958404152,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-04 00:00:00,8888.671912686868,45617019157.37323,210.02470947464772,250864691316.0856,163036842346.68604,23254687127.813503,250864691316.0856,0.6498995195033731,0.0926981274479674,0.2574023530486595,44.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,-0.018314698466625923,0.06487254082656313,0.48677909513205075,0.043969997295750615,0.05497489876289917,206.50344983872432,190.22082784794608,1.0855985234371592,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-05 00:00:00,8884.407813577056,44698213713.39127,206.8325342346069,249744258316.8562,162341412439.88123,22819858077.111965,249744258316.8562,0.650030609448146,0.0913729037492421,0.2585964868026119,40.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,-0.01519904609331768,0.0527831126416094,0.43433691344108616,0.044758537352378606,0.05522919323714161,206.585720937695,191.73098297400617,1.0774769822449757,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-06 00:00:00,9003.240557621584,43436234291.97107,205.22517973985205,252094549143.06787,165335617639.04947,22740460359.466698,252094549143.06787,0.6558476500228442,0.0902060771911458,0.2539462727860099,42.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,-0.007771284632289266,0.04093459035647484,0.4366392055975803,0.045157371347071706,0.05520726566141073,206.24558563823425,192.95772813453763,1.0688640855806086,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-07 00:00:00,9144.68703972007,48538811466.802704,200.2547945000944,254679607600.64893,167950864937.1468,22529347281.111214,254679607600.64893,0.659459414593188,0.0884615281661593,0.2520790572406526,49.0,0.0,0.0,1.0,0.0,0.0,0.1982013035848551,-0.02421917839739851,-0.07095109170468472,0.17897463009612014,0.024816040496039034,0.044527782943548436,204.7478878536993,193.6210978041337,1.0574668265791025,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-08 00:00:00,9959.166416261767,61712313964.69186,212.29247620086525,273523703972.18845,182927847431.44943,23678773321.927563,273523703972.18845,0.668782430096257,0.0865693648413564,0.2446482050623865,55.0,0.0,0.0,0.0,1.0,0.0,0.1982013035848551,0.060111827688426045,0.032771948339680446,0.29040610497470176,0.030850589877903328,0.044977786600940754,206.6340349404908,195.31849584020023,1.0579337817015977,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-09 00:00:00,9821.81131529702,50955646313.40579,211.68904835113835,271982758846.99225,180421762956.3486,23476076684.66088,271982758846.99225,0.6633573529484177,0.0863145766451603,0.2503280704064219,56.0,0.0,0.0,0.0,1.0,0.0,0.1982013035848551,-0.002842436343132304,-0.0013173998377989937,0.225027066706597,0.028640107208331007,0.04435461910669231,207.8977882931527,196.80672788664913,1.0563550876822232,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-10 00:00:00,9566.777187205966,46706541180.09866,210.4318181376063,242586701934.74167,175752574354.63544,23328821609.133904,242586701934.74167,0.724493852931455,0.0961669432952248,0.1793392037733202,48.0,0.0,0.0,1.0,0.0,0.0,0.1982013035848551,-0.005939042304383246,-0.016411814793780732,0.23714212683417246,0.02840623286282973,0.044213021088791056,208.53129575426613,198.04537245491795,1.0529470755583301,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-11 00:00:00,8752.617087745832,61704475184.53314,188.13722615896583,243078805028.0174,160814678353.7077,20859785783.852856,243078805028.0174,0.6615742509313888,0.0858149100307143,0.2526108390378969,40.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,-0.10594686761705174,-0.10421384879155826,0.1927034214690031,0.04878329041233529,0.04665950160464114,203.43277835544106,197.14463188255866,1.0318961080138784,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-12 00:00:00,8604.75159101983,57996080837.490005,185.67471809740292,239129498739.93723,158113540964.46692,20616754314.25829,239129498739.93723,0.6612046685901418,0.0862158555213626,0.2525794758884956,39.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,-0.013088893207568786,-0.10229442972064062,0.17272283637650365,0.048785085657332035,0.046800045744741205,198.99326329093154,196.1019124475445,1.0147441236411219,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-13 00:00:00,8788.466749414652,39515455755.72524,189.30578181851277,244112994618.7768,161474125336.405,20993946147.95032,244112994618.7768,0.6614728789369604,0.0860009364955596,0.2525261845674799,41.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,0.019556048116389446,-0.07757039336751492,0.19162295734178403,0.050454066124029244,0.04685762895310862,196.57139292282685,195.4840823903598,1.0055621435728759,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-14 00:00:00,9283.08601265873,44239951916.52319,199.36937254304945,256048785022.3336,170593350055.82486,22169692740.7452,256048785022.3336,0.666253308098865,0.0865838622855073,0.2471628296156277,40.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,0.053160503751463084,-0.004421476945185021,0.2722887285772686,0.05516298909519401,0.047431833967679284,197.27088782788252,195.83729058605886,1.0073203486298932,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-15 00:00:00,9796.494527024528,52076585310.72393,203.21124699378416,264897223520.5705,179398095871.3398,22562017222.46954,264897223520.5705,0.6772366032647704,0.0851727206597825,0.2375906760754469,44.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,0.019270133630506114,-0.04277697151400073,0.2839761471338418,0.0497256166257416,0.04746788278898334,198.75597761935794,196.50765025948843,1.0114414240712797,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-16 00:00:00,9309.29535940684,44866846516.37974,194.27309778153105,257102358974.1654,170983863891.47488,21656663418.09443,257102358974.1654,0.6650419878436665,0.0842336239329121,0.2507243882234213,41.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,-0.043984520268833927,-0.08227138203540252,0.2679119363493092,0.0517999134755887,0.047881098519370974,197.63525765990124,196.30450912512867,1.0067790013622373,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-17 00:00:00,9375.29710843331,34146492788.290558,200.58339090310048,260414692627.37415,172309401206.74423,22256509489.00485,260414692627.3741,0.6616731163218227,0.0854656442939322,0.2528612393842451,40.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,0.03248155917432083,-0.04680103665723079,0.16770329791894145,0.05439552835889552,0.04323876223207627,198.37229097070107,196.69349837767155,1.0085350690636763,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-18 00:00:00,9666.32719340344,35650032953.969925,206.76889403683904,264474253827.07657,177224284369.1316,22938430778.9383,264474253827.07657,0.6701003284993012,0.0867321882830089,0.2431674832176898,50.0,0.0,0.0,1.0,0.0,0.0,0.1982013035848551,0.030837563897435194,0.09903233006173084,0.21310577484808158,0.03243780107477779,0.04338687590998922,200.47144173723558,197.60944343759587,1.0144831049055787,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-19 00:00:00,9708.439858793108,38922896809.95441,214.35764164526785,265282029657.3789,178446153576.46417,23793534838.638046,265282029657.3789,0.6726658183629463,0.0896914686206534,0.2376427130164003,50.0,0.0,0.0,1.0,0.0,0.0,0.1982013035848551,0.03670159210251778,0.15447942424136696,0.1454183079532292,0.030922908715846815,0.04030822504626449,203.94299171424365,199.1320069110206,1.0241597766117667,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-20 00:00:00,9760.198937162191,37077538114.72087,213.68672021176667,268852542754.1611,179127815802.66245,23656360817.218487,268852542754.1611,0.6662678878453346,0.0879900951461332,0.2457420170085321,52.0,0.0,0.0,1.0,0.0,0.0,0.1982013035848551,-0.0031299160988692565,0.1287913034617605,0.18676211143121213,0.032276497407708854,0.039516147515918414,206.37892383862442,200.45516266563388,1.0295515520489316,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-21 00:00:00,9526.50759300584,34829170074.82492,209.9207882888633,263420965015.62524,175227227252.9058,23303624068.60854,263420965015.62524,0.6651984865460951,0.0884653355788376,0.2463361778750672,49.0,0.0,0.0,1.0,0.0,0.0,0.1982013035848551,-0.017623612357245633,0.05292395522554738,0.2297351914422645,0.0304254116860593,0.03824211524725227,207.26438995118414,201.31567408592744,1.0295491937836774,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-22 00:00:00,9059.962506871729,35965016693.72406,198.9175157507187,251605603235.16687,166569335290.8396,22089212414.44277,251605603235.16687,0.6620255397696891,0.0877930067153423,0.2501814535149685,42.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,-0.05241630725492241,-0.02112939764203503,0.1670033159524189,0.03722358547800453,0.03976101020912135,205.1776714010678,201.09765969181757,1.0202887080610628,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-23 00:00:00,9131.767275081991,27700943119.83718,206.22772963994552,256096396143.6365,168309812992.5134,22960218146.427925,256096396143.6365,0.6572127352315948,0.0896545929273844,0.2531326718410207,40.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,0.03674997579593686,0.06153518935420488,0.13139893580002515,0.0346255324892262,0.03838831376798621,205.44018596078726,201.56402968710194,1.0192303968108918,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-24 00:00:00,9170.361063506129,26159735072.083897,206.4112069583191,256104437887.36075,168614573110.75775,22943289960.014706,256104437887.36075,0.6583820823320423,0.0895856789881383,0.2520322386798194,43.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,0.0008896830639308906,0.029054330116664362,0.1181920303074191,0.03309280888554899,0.038365423659878606,205.68294121017024,202.0046821663035,1.0182087811253728,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-25 00:00:00,8731.848525870651,29437505507.203728,200.69072858230615,246165084451.64465,161407638875.36517,22417907964.48714,246165084451.64465,0.6556885970848202,0.0910685933158436,0.2532428095993361,41.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,-0.02771399121351048,-0.02939593734756818,0.07124543594386035,0.032745579177344435,0.03875209371429167,204.43488805320425,201.88523184048557,1.0126292358756248,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-26 00:00:00,8883.691769863415,29130957734.103832,203.81011834234977,249465224017.59317,163333743988.58344,22639118588.39778,249465224017.5932,0.6547355232850595,0.0907505993172066,0.2545138773977339,39.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,0.015543267903202151,-0.04920525912658047,0.049949358044002024,0.02916566017309304,0.038325289758801735,204.27869562549063,202.0602215224732,1.0109792718542114,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-27 00:00:00,8839.130663273247,26860828302.61543,200.96361540675863,250097714893.6967,162547226896.53772,22325672542.330963,250097714893.6967,0.649934874317536,0.0892677989953663,0.2607973266870975,39.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,-0.01396644562469529,-0.059540924173478116,0.01893075480111328,0.02922503110185685,0.038346864328151924,203.44992557080764,201.96053005740825,1.0073746860981996,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-28 00:00:00,9174.118563996424,28916177009.890636,207.84589389085411,257162540220.5174,168615778509.82266,23085068545.91044,257162540220.5174,0.6556778384800301,0.0897683952185063,0.2545537663014635,41.0,0.0,1.0,0.0,0.0,0.0,0.1982013035848551,0.03424639067208979,-0.009884177812604311,0.05794114030431374,0.03283800195076482,0.038796953474830524,204.54891765081925,202.4955631331761,1.0101402444867038,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-29 00:00:00,9546.04563503715,31771100326.33337,219.59156405880168,266653544809.2371,175534414971.32306,24328143646.44253,266653544809.2371,0.6582864484209264,0.0912350280730255,0.250478523506048,48.0,0.0,0.0,1.0,0.0,0.0,0.1982013035848551,0.0565114371425377,0.10393276947009267,0.113803165230699,0.030079196439502572,0.040026550901365296,208.30957925281484,204.0497450355057,1.0208764495959939,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-30 00:00:00,9427.120373393418,28880265574.93268,220.49116734603788,263120007134.2237,173355014878.4796,24504031642.684784,263120007134.2237,0.6588439122002879,0.0931287282543463,0.2480273595453657,48.0,0.0,0.0,1.0,0.0,0.0,0.1982013035848551,0.004096711506619277,0.0691635297105535,0.022932204060160943,0.028567141221570246,0.03633675250598177,211.3549762761206,205.54441979100866,1.0282691035398575,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-05-31 00:00:00,9662.70587254818,30231487421.644287,242.7097702678268,273887007835.6719,177978616382.68933,27012940828.46696,273887007835.6719,0.6498249690232617,0.098628047536575,0.2515469834401632,51.0,0.0,0.0,1.0,0.0,0.0,0.1982013035848551,0.10076867563097958,0.1758555838338638,0.1807476496878231,0.04404267105152153,0.03946224022411049,219.19367477404717,208.923088016174,1.0491596541837351,May,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-06-01 00:00:00,9466.961781429516,27396663221.15232,232.3310030389668,267547225555.0713,174105710752.04755,25671662155.409367,267547225555.0713,0.650747584434248,0.095951890744332,0.2533005248214199,50.0,0.0,0.0,1.0,0.0,0.0,0.7166562831830481,-0.04276204957636098,0.15765688171132686,0.09606487449637524,0.04725007167279694,0.04015795308321148,222.4780068402771,211.05108029097332,1.054142942711071,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-02 00:00:00,10167.93069332851,33702539853.509117,248.04456658448652,286307051373.03955,186932702065.96875,27559451838.43636,286307051373.03955,0.6529098782914974,0.0962583761254562,0.2508317455830464,56.0,0.0,0.0,0.0,1.0,0.0,0.7166562831830481,0.06763438086170637,0.21703754750700854,0.15939550993927232,0.050070057153848296,0.04180952862481297,228.86964677632943,214.4141244994745,1.0674187034580847,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-03 00:00:00,9515.243858655718,36841150778.6441,237.2653201286792,270829778322.8926,175463166971.51956,26414164713.757725,270829778322.8926,0.6478725052247627,0.0975305037626469,0.2545969910125903,48.0,0.0,0.0,1.0,0.0,0.0,0.7166562831830481,-0.04345689407445974,0.18063819487146682,0.12970193232106197,0.05530437670983831,0.04255467671520486,230.9685651144169,216.4915059203113,1.0668712572928125,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-04 00:00:00,9645.227869360308,25222025158.95508,244.1253366100756,275266863182.54645,177416480472.83005,27137533088.4328,275266863182.54645,0.6445253831921434,0.0985862692467862,0.2568883475610704,54.0,0.0,0.0,1.0,0.0,0.0,0.7166562831830481,0.028912849453413214,0.17454972066117835,0.18030433419709535,0.05519707416730883,0.0425965390679592,234.25775798833158,219.00367234665353,1.0696521911172927,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-05 00:00:00,9776.20299178848,24903069188.39716,243.70782131595865,277986861808.27136,179830985954.85498,27105225697.6403,277986861808.27136,0.6469046227043821,0.0975054199372015,0.2555899573584164,53.0,0.0,0.0,1.0,0.0,0.0,0.7166562831830481,-0.0017102497426714214,0.10982324098160334,0.1875142301002637,0.05394705262054117,0.042541245069455814,236.62027382023834,221.24950407113582,1.069472561367462,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-06 00:00:00,9636.965527050055,23447982002.19483,240.24696898765103,274082820081.9731,177373937377.29663,26722521046.76495,274082820081.9731,0.6471545254979767,0.0974979790370397,0.2553474954649836,54.0,0.0,0.0,1.0,0.0,0.0,0.7166562831830481,-0.014200825848017185,0.08959906140189489,0.19970645190988323,0.05506365273508735,0.04232958796271065,237.5269476120915,222.9765463362736,1.06525529933482,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-07 00:00:00,9662.85870900224,19374357195.06036,242.02164036721496,276090840455.4818,177901732349.93213,26923196533.750423,276090840455.4818,0.6443594146638046,0.0975157179764956,0.2581248673596997,54.0,0.0,0.0,1.0,0.0,0.0,0.7166562831830481,0.007386862723147036,-0.0028351965388641043,0.14003870838183063,0.0395519617293957,0.04112388480240458,238.6506208008724,224.7079185209046,1.0620481128201573,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-08 00:00:00,9738.603356828591,23856639264.76249,244.22674439497985,277865329440.39874,179167717944.46164,27129407338.340355,277865329440.39874,0.6448005525025121,0.0976350932049603,0.2575643542925275,53.0,0.0,0.0,1.0,0.0,0.0,0.7166562831830481,0.009111185365156205,0.05120169585811962,0.1537051458130687,0.03471172758161828,0.04110118891729416,240.04465169939925,226.48235723672965,1.0598823441619944,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-09 00:00:00,9773.02951309516,21154971285.09144,246.21278326044265,276846280448.9195,179810911053.20026,27441367803.298782,276846280448.9195,0.6494972977842731,0.099121316561672,0.2513813856540549,52.0,0.0,0.0,1.0,0.0,0.0,0.7166562831830481,0.008131946689060587,-0.0073848959856975815,0.17003590730484652,0.022832372744130105,0.04104524898859419,241.5866845896601,228.2760323297945,1.05830946036698,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-10 00:00:00,9767.00531665552,22844271951.20621,243.8495266518988,278857534525.9802,179709840753.7975,27188436885.46926,278857534525.9802,0.6444503680321197,0.097499380576845,0.2580502513910352,54.0,0.0,0.0,1.0,0.0,0.0,0.7166562831830481,-0.009598431800529217,0.027750395715853804,0.2961258738122303,0.014283512106712868,0.0353532195602606,242.1523951052198,229.6918045408949,1.0542491735359516,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-11 00:00:00,9874.898681832236,24398738299.650776,247.5419715295243,282018465431.2836,181705166673.57465,27480866985.686268,282018465431.2836,0.6443023735899619,0.097443502302803,0.258254124107235,52.0,0.0,0.0,1.0,0.0,0.0,0.7166562831830481,0.015142308981786812,0.013995413040252425,0.3332023555283734,0.010806284964608915,0.03511223480556037,243.49978921129593,231.31454699440664,1.0526782356545175,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-12 00:00:00,9325.996856202635,31225155444.61979,232.00078536182025,264702479354.4569,171615707160.27472,25655172292.438347,264702479354.4569,0.6483343396661885,0.0969207857629625,0.2547448745708489,38.0,0.0,1.0,0.0,0.0,0.0,0.7166562831830481,-0.0627820246872779,-0.04803717784239947,0.22553459874901827,0.02694241387678244,0.03749445241850044,240.625038248927,231.37693230053517,1.0399698701873161,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-13 00:00:00,9469.533297509908,23601462338.138702,237.5934108774424,269685210741.69308,174266571295.67957,26414947184.76374,269685210741.69308,0.6461851238205036,0.0979473331597119,0.2558675430197844,38.0,0.0,1.0,0.0,0.0,0.0,0.7166562831830481,0.024106062860520527,-0.011045126277306028,0.19172472605409485,0.028975523569649202,0.03663917156046174,239.86713140605588,231.94206671661763,1.0341682938400343,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-14 00:00:00,9469.473456163696,19693461096.502857,238.29362910089247,270540449224.883,174275005803.05463,26503078976.085632,270540449224.883,0.6441735655513418,0.0979634618483808,0.2578629726002774,40.0,0.0,1.0,0.0,0.0,0.0,0.7166562831830481,0.002947128124741072,-0.015403627794052022,0.1726399627289399,0.02880394899031359,0.03656420714508004,239.47375582976503,232.51948147882445,1.0299083513635563,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-15 00:00:00,9345.960907722065,18836155988.901707,232.11252047744932,266290700668.2169,172116372679.33923,25856836267.17579,266290700668.2169,0.6463476653425704,0.0971000346699749,0.2565522999874546,37.0,0.0,1.0,0.0,0.0,0.0,0.7166562831830481,-0.02593904271282932,-0.04960236417817776,0.194774382701564,0.029616207528713624,0.03585577908436335,237.63344699168613,232.482485024154,1.0221563442381347,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-16 00:00:00,9431.719262201745,29160908896.896835,231.0170115525279,266681761038.27216,173598215783.88248,25743924409.197376,266681761038.27216,0.6509564625192683,0.0965342523199507,0.2525092851607809,39.0,0.0,1.0,0.0,0.0,0.0,0.7166562831830481,-0.004719732148304567,-0.061718045288658874,0.15172552678665974,0.02892244889078045,0.03557066368443936,235.97933813189655,232.34926016309709,1.0156233678826925,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-17 00:00:00,9524.92661691022,26391020757.045525,235.28847948297147,270711637560.29852,175075304218.30185,26206196967.82947,270711637560.2985,0.646722489642897,0.0968048407671143,0.2564726695899886,38.0,0.0,1.0,0.0,0.0,0.0,0.7166562831830481,0.01848984151313182,-0.03510790972806943,0.13792976733265894,0.030671294215377856,0.03533591943472402,235.80662346966528,232.61646191944928,1.013714255319216,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-18 00:00:00,9463.361414311788,23643218251.13749,233.8636184621818,269428299669.18228,174231189757.1904,26079437153.80169,269428299669.18228,0.6466699673758113,0.0967954635271177,0.2565345690970709,40.0,0.0,1.0,0.0,0.0,0.0,0.7166562831830481,-0.006055804448737545,-0.05525670246070202,0.09099734755056521,0.029408535775341953,0.034868688312120005,235.3208722177944,232.72983978697044,1.011133219673058,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-19 00:00:00,9399.767217129216,20601074385.50321,231.68485732135008,268384681976.56653,173034439845.62103,25847377552.22144,268384681976.56653,0.6447254685747273,0.0963072011482319,0.2589673302770408,39.0,0.0,1.0,0.0,0.0,0.0,0.7166562831830481,-0.009316374881901734,-0.0013617541853466752,0.0842267460127939,0.017079253873324294,0.03492741120282993,234.4118684936833,232.63484138100497,1.0076386972051532,June,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-20 00:00:00,9312.780104497786,23738525501.71876,228.9592128032193,266586324308.63605,171101646024.0128,25534271650.26011,266586324308.63605,0.6418245439549352,0.0957823763708832,0.2623930796741816,38.0,0.0,1.0,0.0,0.0,0.0,0.7166562831830481,-0.01176444826668277,-0.03634022527113301,0.09069337376990982,0.013654617748146664,0.03482271599565703,233.0487045710673,232.300693328479,1.0032200129576478,June,0,0,0,0,0,1,0,0,0,0,0,0,1
