date,inflation_12m
2021-11-08,6.865559520296194
2021-11-09,6.865559520296194
2021-11-10,6.865559520296194
2021-11-11,6.865559520296194
2021-11-12,6.865559520296194
2021-11-13,6.865559520296194
2021-11-14,6.865559520296194
2021-11-15,6.865559520296194
2021-11-16,6.865559520296194
2021-11-17,6.865559520296194
2021-11-18,6.865559520296194
2021-11-19,6.865559520296194
2021-11-20,6.865559520296194
2021-11-21,6.865559520296194
2021-11-22,6.865559520296194
2021-11-23,6.865559520296194
2021-11-24,6.865559520296194
2021-11-25,6.865559520296194
2021-11-26,6.865559520296194
2021-11-27,6.865559520296194
2021-11-28,6.865559520296194
2021-11-29,6.865559520296194
2021-11-30,6.865559520296194
2021-12-01,7.159457345112474
2021-12-02,7.159457345112474
2021-12-03,7.159457345112474
2021-12-04,7.159457345112474
2021-12-05,7.159457345112474
2021-12-06,7.159457345112474
2021-12-07,7.159457345112474
2021-12-08,7.159457345112474
2021-12-09,7.159457345112474
2021-12-10,7.159457345112474
2021-12-11,7.159457345112474
2021-12-12,7.159457345112474
2021-12-13,7.159457345112474
2021-12-14,7.159457345112474
2021-12-15,7.159457345112474
2021-12-16,7.159457345112474
2021-12-17,7.159457345112474
2021-12-18,7.159457345112474
2021-12-19,7.159457345112474
2021-12-20,7.159457345112474
2021-12-21,7.159457345112474
2021-12-22,7.159457345112474
2021-12-23,7.159457345112474
2021-12-24,7.159457345112474
2021-12-25,7.159457345112474
2021-12-26,7.159457345112474
2021-12-27,7.159457345112474
2021-12-28,7.159457345112474
2021-12-29,7.159457345112474
2021-12-30,7.159457345112474
2021-12-31,7.159457345112474
2022-01-01,7.578082463000535
2022-01-02,7.578082463000535
2022-01-03,7.578082463000535
2022-01-04,7.578082463000535
2022-01-05,7.578082463000535
2022-01-06,7.578082463000535
2022-01-07,7.578082463000535
2022-01-08,7.578082463000535
2022-01-09,7.578082463000535
2022-01-10,7.578082463000535
2022-01-11,7.578082463000535
2022-01-12,7.578082463000535
2022-01-13,7.578082463000535
2022-01-14,7.578082463000535
2022-01-15,7.578082463000535
2022-01-16,7.578082463000535
2022-01-17,7.578082463000535
2022-01-18,7.578082463000535
2022-01-19,7.578082463000535
2022-01-20,7.578082463000535
2022-01-21,7.578082463000535
2022-01-22,7.578082463000535
2022-01-23,7.578082463000535
2022-01-24,7.578082463000535
2022-01-25,7.578082463000535
2022-01-26,7.578082463000535
2022-01-27,7.578082463000535
2022-01-28,7.578082463000535
2022-01-29,7.578082463000535
2022-01-30,7.578082463000535
2022-01-31,7.578082463000535
2022-02-01,7.949220898953979
2022-02-02,7.949220898953979
2022-02-03,7.949220898953979
2022-02-04,7.949220898953979
2022-02-05,7.949220898953979
2022-02-06,7.949220898953979
2022-02-07,7.949220898953979
2022-02-08,7.949220898953979
2022-02-09,7.949220898953979
2022-02-10,7.949220898953979
2022-02-11,7.949220898953979
2022-02-12,7.949220898953979
2022-02-13,7.949220898953979
2022-02-14,7.949220898953979
2022-02-15,7.949220898953979
2022-02-16,7.949220898953979
2022-02-17,7.949220898953979
2022-02-18,7.949220898953979
2022-02-19,7.949220898953979
2022-02-20,7.949220898953979
2022-02-21,7.949220898953979
2022-02-22,7.949220898953979
2022-02-23,7.949220898953979
2022-02-24,7.949220898953979
2022-02-25,7.949220898953979
2022-02-26,7.949220898953979
2022-02-27,7.949220898953979
2022-02-28,7.949220898953979
2022-03-01,8.540780148538584
2022-03-02,8.540780148538584
2022-03-03,8.540780148538584
2022-03-04,8.540780148538584
2022-03-05,8.540780148538584
2022-03-06,8.540780148538584
2022-03-07,8.540780148538584
2022-03-08,8.540780148538584
2022-03-09,8.540780148538584
2022-03-10,8.540780148538584
2022-03-11,8.540780148538584
2022-03-12,8.540780148538584
2022-03-13,8.540780148538584
2022-03-14,8.540780148538584
2022-03-15,8.540780148538584
2022-03-16,8.540780148538584
2022-03-17,8.540780148538584
2022-03-18,8.540780148538584
2022-03-19,8.540780148538584
2022-03-20,8.540780148538584
2022-03-21,8.540780148538584
2022-03-22,8.540780148538584
2022-03-23,8.540780148538584
2022-03-24,8.540780148538584
2022-03-25,8.540780148538584
2022-03-26,8.540780148538584
2022-03-27,8.540780148538584
2022-03-28,8.540780148538584
2022-03-29,8.540780148538584
2022-03-30,8.540780148538584
2022-03-31,8.540780148538584
2022-04-01,8.235161744022502
2022-04-02,8.235161744022502
2022-04-03,8.235161744022502
2022-04-04,8.235161744022502
2022-04-05,8.235161744022502
2022-04-06,8.235161744022502
2022-04-07,8.235161744022502
2022-04-08,8.235161744022502
2022-04-09,8.235161744022502
2022-04-10,8.235161744022502
2022-04-11,8.235161744022502
2022-04-12,8.235161744022502
2022-04-13,8.235161744022502
2022-04-14,8.235161744022502
2022-04-15,8.235161744022502
2022-04-16,8.235161744022502
2022-04-17,8.235161744022502
2022-04-18,8.235161744022502
2022-04-19,8.235161744022502
2022-04-20,8.235161744022502
2022-04-21,8.235161744022502
2022-04-22,8.235161744022502
2022-04-23,8.235161744022502
2022-04-24,8.235161744022502
2022-04-25,8.235161744022502
2022-04-26,8.235161744022502
2022-04-27,8.235161744022502
2022-04-28,8.235161744022502
2022-04-29,8.235161744022502
2022-04-30,8.235161744022502
2022-05-01,8.530051713089225
2022-05-02,8.530051713089225
2022-05-03,8.530051713089225
2022-05-04,8.530051713089225
2022-05-05,8.530051713089225
2022-05-06,8.530051713089225
2022-05-07,8.530051713089225
2022-05-08,8.530051713089225
2022-05-09,8.530051713089225
2022-05-10,8.530051713089225
2022-05-11,8.530051713089225
2022-05-12,8.530051713089225
2022-05-13,8.530051713089225
2022-05-14,8.530051713089225
2022-05-15,8.530051713089225
2022-05-16,8.530051713089225
2022-05-17,8.530051713089225
2022-05-18,8.530051713089225
2022-05-19,8.530051713089225
2022-05-20,8.530051713089225
2022-05-21,8.530051713089225
2022-05-22,8.530051713089225
2022-05-23,8.530051713089225
2022-05-24,8.530051713089225
2022-05-25,8.530051713089225
2022-05-26,8.530051713089225
2022-05-27,8.530051713089225
2022-05-28,8.530051713089225
2022-05-29,8.530051713089225
2022-05-30,8.530051713089225
2022-05-31,8.530051713089225
2022-06-01,8.999298141923106
2022-06-02,8.999298141923106
2022-06-03,8.999298141923106
2022-06-04,8.999298141923106
2022-06-05,8.999298141923106
2022-06-06,8.999298141923106
2022-06-07,8.999298141923106
2022-06-08,8.999298141923106
2022-06-09,8.999298141923106
2022-06-10,8.999298141923106
2022-06-11,8.999298141923106
2022-06-12,8.999298141923106
2022-06-13,8.999298141923106
2022-06-14,8.999298141923106
2022-06-15,8.999298141923106
2022-06-16,8.999298141923106
2022-06-17,8.999298141923106
2022-06-18,8.999298141923106
2022-06-19,8.999298141923106
2022-06-20,8.999298141923106
2022-06-21,8.999298141923106
2022-06-22,8.999298141923106
2022-06-23,8.999298141923106
2022-06-24,8.999298141923106
2022-06-25,8.999298141923106
2022-06-26,8.999298141923106
2022-06-27,8.999298141923106
2022-06-28,8.999298141923106
2022-06-29,8.999298141923106
2022-06-30,8.999298141923106
2022-07-01,8.447778206754553
2022-07-02,8.447778206754553
2022-07-03,8.447778206754553
2022-07-04,8.447778206754553
2022-07-05,8.447778206754553
2022-07-06,8.447778206754553
2022-07-07,8.447778206754553
2022-07-08,8.447778206754553
2022-07-09,8.447778206754553
2022-07-10,8.447778206754553
2022-07-11,8.447778206754553
2022-07-12,8.447778206754553
2022-07-13,8.447778206754553
2022-07-14,8.447778206754553
2022-07-15,8.447778206754553
2022-07-16,8.447778206754553
2022-07-17,8.447778206754553
2022-07-18,8.447778206754553
2022-07-19,8.447778206754553
2022-07-20,8.447778206754553
2022-07-21,8.447778206754553
2022-07-22,8.447778206754553
2022-07-23,8.447778206754553
2022-07-24,8.447778206754553
2022-07-25,8.447778206754553
2022-07-26,8.447778206754553
2022-07-27,8.447778206754553
2022-07-28,8.447778206754553
2022-07-29,8.447778206754553
2022-07-30,8.447778206754553
2022-07-31,8.447778206754553
2022-08-01,8.216255059541266
2022-08-02,8.216255059541266
2022-08-03,8.216255059541266
2022-08-04,8.216255059541266
2022-08-05,8.216255059541266
2022-08-06,8.216255059541266
2022-08-07,8.216255059541266
2022-08-08,8.216255059541266
2022-08-09,8.216255059541266
2022-08-10,8.216255059541266
2022-08-11,8.216255059541266
2022-08-12,8.216255059541266
2022-08-13,8.216255059541266
2022-08-14,8.216255059541266
2022-08-15,8.216255059541266
2022-08-16,8.216255059541266
2022-08-17,8.216255059541266
2022-08-18,8.216255059541266
2022-08-19,8.216255059541266
2022-08-20,8.216255059541266
2022-08-21,8.216255059541266
2022-08-22,8.216255059541266
2022-08-23,8.216255059541266
2022-08-24,8.216255059541266
2022-08-25,8.216255059541266
2022-08-26,8.216255059541266
2022-08-27,8.216255059541266
2022-08-28,8.216255059541266
2022-08-29,8.216255059541266
2022-08-30,8.216255059541266
2022-08-31,8.216255059541266
2022-09-01,8.205751582451759
2022-09-02,8.205751582451759
2022-09-03,8.205751582451759
2022-09-04,8.205751582451759
2022-09-05,8.205751582451759
2022-09-06,8.205751582451759
2022-09-07,8.205751582451759
2022-09-08,8.205751582451759
