date,btc_price,total_volume,eth_price,total_market_cap,btc_mcap,eth_mcap,total_mcap,btc_dominance,eth_dominance,alt_dominance,fear_greed,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,inflation_12m,return_1d_eth,return_7d_eth,return_30d_eth,volatility_7d_eth,volatility_30d_eth,ema_7_eth,ema_21_eth,ema_ratio_eth,month,is_jan,is_feb,is_mar,is_apr,is_may,is_jun,is_jul,is_aug,is_sep,is_oct,is_nov,is_dec,halving_year,rsi_14,sma_5,sma_20,sma_50,ema_12,ema_26,macd_line,macd_signal,macd_hist,rsi_sma_2,rsi_sma_5
2022-02-27,39090.202153609054,14568201294.74542,2785.3389569017427,1860631629757.647,741083625917.93,332645349329.944,1860631629757.647,0.3982968009710006,0.1787808741987644,0.4229223248302349,26.0,0.0,1.0,0.0,0.0,0.0,7.949220898953979,0.0048517238355958,0.0059109687363012,0.1548491639574452,0.0373798699466662,0.0424515983808596,2722.2290609572988,2805.830088056715,0.9702045296843624,February,0,1,0,0,0,0,0,0,0,0,0,0,0,47.68984365442486,2679.203530178273,2881.380284806825,2886.7469552318626,2756.065648841695,2832.0293796276455,-75.9637307859507,-65.16922161845355,-10.794509167497154,47.397870040931274,42.57448824178242
2022-02-28,37803.59016044929,19424397945.6196,2629.48312082149,1789112794368.224,717619764688.0872,314566178973.5596,1789112794368.224,0.4011037017604554,0.1758224411360492,0.4230738571034954,20.0,1.0,0.0,0.0,0.0,0.0,7.949220898953979,-0.0559557879639963,-0.0011427495250196,0.0307207507017313,0.0389399868513265,0.0427168572318673,2699.0425759233462,2789.798545580785,0.967468629661019,February,0,1,0,0,0,0,0,0,0,0,0,0,0,41.914635505848075,2676.269423233368,2855.35677657241,2877.315799616009,2736.5914137616637,2817.025953049412,-80.43453928774807,-68.22228515231245,-12.212254135435614,44.80223958013643,42.89882949798904
2022-03-01,43225.40467743573,30634280854.538326,2919.294962425658,1993954077154.3347,819019441071.749,349056335389.1799,1993954077154.3347,0.4107514061911647,0.1750573593386536,0.4141912344701817,51.0,0.0,0.0,1.0,0.0,0.0,8.540780148538584,0.1102162776057775,0.1339210667227863,0.1212515826391775,0.054976940675422,0.0469912969863668,2754.105672548924,2801.570947112137,0.983057621791752,March,0,0,1,0,0,0,0,0,0,0,0,0,0,53.251378323230746,2741.188223896468,2844.949619356682,2872.5623536213325,2764.6996520176626,2824.60143522543,-59.901783207767494,-66.55818476340346,6.656401555635966,47.58300691453937,45.79716745510005
2022-03-02,44459.59162774341,27880763034.09392,2977.276039756805,2032590350063.9128,841254375272.0455,355855644056.71844,2032590350063.9128,0.4138828934446102,0.1750749451533748,0.4110421614020149,52.0,0.0,0.0,1.0,0.0,0.0,8.540780148538584,0.0198613288747533,0.1259845030231419,0.1406390731082212,0.0548767015216452,0.047068082499409,2809.898264350894,2817.5441373525614,0.9972863342581558,March,0,0,1,0,0,0,0,0,0,0,0,0,0,55.137875873210724,2816.656717910425,2831.767369120136,2870.373294367694,2797.4037116698387,2835.9106651907173,-38.5069535208786,-60.947938514898496,22.4409849940199,54.19462709822069,49.01992595683044
2022-03-03,43980.707382090906,25615956856.40275,2953.315776286441,2015717453044.005,834437956671.6672,353807222059.12616,2015717453044.005,0.4139657348362755,0.175524214231925,0.4105100509317995,39.0,0.0,1.0,0.0,0.0,0.0,8.540780148538584,-0.0080477131278431,0.1382104615628894,0.0982049902576274,0.053815281900936,0.0468904556313985,2845.7526423347804,2829.887013619278,1.0056064530630189,March,0,0,1,0,0,0,0,0,0,0,0,0,0,54.165134797553485,2852.941771238427,2825.3375828424164,2864.511335432852,2821.390183149316,2844.6073400866967,-23.217156937380878,-53.40178219939498,30.1846252620141,54.65150533538206,50.431773630853584
2022-03-04,42491.97839335905,22366184128.90048,2836.9063366005576,1958359575423.275,807454920681.7217,340585349633.38696,1958359575423.275,0.4123118812372341,0.1739135927373162,0.4137745260254496,33.0,0.0,1.0,0.0,0.0,0.0,8.540780148538584,-0.0394165231569849,0.0911457006734455,0.0141098840076527,0.0582055439291077,0.0470322734758936,2843.541065901225,2830.525133890304,1.0045984159812182,March,0,0,1,0,0,0,0,0,0,0,0,0,0,49.58788994166576,2863.25524717819,2820.6547412121254,2853.688744261431,2823.777283680276,2844.0368953840198,-20.259611703743758,-46.77334810026474,26.513736396520983,51.87651236960958,50.81138288830176
2022-03-05,39200.29973557414,25121267305.979286,2619.356137634489,1830893767282.716,743810477766.2219,314336377085.58026,1830893767282.716,0.4062553988974103,0.1716846617223981,0.4220599393801916,22.0,1.0,0.0,0.0,0.0,0.0,8.540780148538584,-0.0766857178749006,-0.0550290033033795,-0.0263773858552877,0.0617849208453306,0.0486473101536321,2787.4948338345407,2811.327952412502,0.9915224694587804,March,0,0,1,0,0,0,0,0,0,0,0,0,0,42.3800979850128,2861.22985054079,2805.7182797223936,2840.9406896914606,2792.327876596309,2827.3938762914618,-35.06599969515264,-44.431878419242324,9.365878724089683,45.98399396333924,50.9044753841347
2022-03-06,39463.14681149058,14818212144.749968,2668.70597865687,1855445976651.525,748197160856.1006,319334318240.9434,1855445976651.525,0.403243840171705,0.1721065028350961,0.4246496569931988,22.0,1.0,0.0,0.0,0.0,0.0,8.540780148538584,0.0188404472050707,-0.041873890413183,0.0005433486870058,0.0624343482812805,0.0487336666190625,2757.797620040122,2798.362318434717,0.9855041292804124,March,0,0,1,0,0,0,0,0,0,0,0,0,0,44.355958298013704,2811.112053787033,2794.691794741184,2828.0750880391097,2773.3091230671644,2815.639217207418,-42.33009414025355,-44.011521563444575,1.6814274231910247,43.36802814151321,49.1253913790913
2022-03-07,38442.99174588676,16995562040.606796,2558.359874049847,1796182507129.822,729501899968.2964,306675297178.70435,1796182507129.822,0.4061401873543413,0.1707372697158434,0.4231225429298152,23.0,1.0,0.0,0.0,0.0,0.0,8.540780148538584,-0.0413481685466747,-0.02704837548051,-0.1452472843783631,0.0606445790324114,0.0436056935710936,2707.938183542554,2776.543914399729,0.97529096136338,March,0,0,1,0,0,0,0,0,0,0,0,0,0,40.9727066004941,2727.328820645641,2775.827513450642,2812.617352416907,2740.240007833731,2796.581488084635,-56.34148025090417,-46.4775133009365,-9.863966949967669,42.66433244925386,46.29235752454797
2022-03-08,38076.49382252028,24596395439.058964,2498.658864965217,1771937409977.266,723198804467.6718,299834957580.4126,1771937409977.266,0.4081401523527574,0.169213063560896,0.4226467840863465,21.0,1.0,0.0,0.0,0.0,0.0,8.540780148538584,-0.0233356572271921,-0.144088248318331,-0.172265914394513,0.0348397296552767,0.0436700983435242,2655.6183538982195,2751.28163717841,0.9652295562956984,March,0,0,1,0,0,0,0,0,0,0,0,0,0,39.229286303877764,2636.397438381396,2741.7954463721508,2795.464620839031,2703.073678161652,2774.5131456313447,-71.43946746969277,-51.46990413468776,-19.969563335005013,40.10099645218589,43.30518782581282
