date,btc_mcap,eth_mcap,total_mcap,btc_dominance,eth_dominance,alt_dominance
2020-05-25,161407638875.36517,22417907964.48714,246165084451.64465,0.6556885970848202,0.09106859331584367,0.25324280959933615
2020-05-26,163333743988.58344,22639118588.39778,249465224017.59317,0.6547355232850595,0.0907505993172066,0.25451387739773396
2020-05-27,162547226896.53772,22325672542.330963,250097714893.6967,0.649934874317536,0.08926779899536638,0.26079732668709754
2020-05-28,168615778509.82266,23085068545.91044,257162540220.5174,0.6556778384800301,0.08976839521850634,0.25455376630146354
2020-05-29,175534414971.32306,24328143646.44253,266653544809.2371,0.6582864484209264,0.09123502807302558,0.250478523506048
2020-05-30,173355014878.4796,24504031642.684784,263120007134.2237,0.6588439122002879,0.09312872825434632,0.24802735954536576
2020-05-31,177978616382.68933,27012940828.46696,273887007835.6719,0.6498249690232617,0.09862804753657509,0.25154698344016324
2020-06-01,174105710752.04755,25671662155.409367,267547225555.0713,0.650747584434248,0.09595189074433205,0.25330052482141996
2020-06-02,186932702065.96875,27559451838.43636,286307051373.03955,0.6529098782914974,0.09625837612545622,0.2508317455830464
2020-06-03,175463166971.51956,26414164713.757725,270829778322.8926,0.6478725052247627,0.09753050376264698,0.2545969910125903
2020-06-04,177416480472.83005,27137533088.4328,275266863182.54645,0.6445253831921434,0.09858626924678626,0.2568883475610704
2020-06-05,179830985954.85498,27105225697.6403,277986861808.27136,0.6469046227043821,0.0975054199372015,0.2555899573584164
2020-06-06,177373937377.29663,26722521046.76495,274082820081.9731,0.6471545254979767,0.09749797903703974,0.2553474954649836
2020-06-07,177901732349.93213,26923196533.750423,276090840455.4818,0.6443594146638046,0.09751571797649566,0.2581248673596997
2020-06-08,179167717944.46164,27129407338.340355,277865329440.39874,0.6448005525025121,0.09763509320496039,0.2575643542925275
2020-06-09,179810911053.20026,27441367803.298782,276846280448.9195,0.6494972977842731,0.09912131656167203,0.2513813856540549
2020-06-10,179709840753.7975,27188436885.46926,278857534525.9802,0.6444503680321197,0.09749938057684507,0.2580502513910352
2020-06-11,181705166673.57465,27480866985.686268,282018465431.2836,0.6443023735899619,0.09744350230280305,0.25825412410723503
2020-06-12,171615707160.27472,25655172292.438347,264702479354.4569,0.6483343396661885,0.09692078576296259,0.25474487457084893
2020-06-13,174266571295.67957,26414947184.76374,269685210741.69308,0.6461851238205036,0.09794733315971195,0.2558675430197844
2020-06-14,174275005803.05463,26503078976.085632,270540449224.883,0.6441735655513418,0.09796346184838081,0.25786297260027746
2020-06-15,172116372679.33923,25856836267.17579,266290700668.2169,0.6463476653425704,0.09710003466997498,0.25655229998745466
